,CIE 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIE 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,QUIZ,,,,,,,,,,,,,,,,TEST,,,,,,,,,,,,,,,,,,QUIZ,,,,,,,,,,,,,,,,TEST,,,,,,,,,,,,,,,,,,QUIZ,,,,,,,,,,,,,,,,TEST,,,,,,,,,,,,,,,,,
USN,VERSION,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,1a,1b,1c,2a,2b,2c,3a,3b,3c,4a,4b,4c,5a,5b,5c,6a,6b,6c,VERSION,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,1a,1b,1c,2a,2b,2c,3a,3b,3c,4a,4b,4c,5a,5b,5c,6a,6b,6c,VERSION,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,1a,1b,1c,2a,2b,2c,3a,3b,3c,4a,4b,4c,5a,5b,5c,6a,6b,6c
PERSON1,A,1,0,1,0,0,2,2,,,,,,,,,3,6,,5,4,,4,4,,5,4,,4,3,,,,,,1,1,1,0,0,0,2,,,,,,,,,4,3,,6,4,,4,5,,6,4,,3,5,,,,,,1,1,1,1,2,2,2,,,,,,,,,4,5,,5,4,,5,5,,5,4,,5,5,,,,
PERSON2,A,1,1,0,1,2,2,2,,,,,,,,,4,6,,6,4,,5,5,,6,4,,5,5,,,,,,1,1,1,1,0,2,2,,,,,,,,,4,5,,5,4,,5,5,,6,4,,5,3,,,,,,1,0,0,0,2,2,2,,,,,,,,,4,6,,6,4,,5,5,,6,4,,5,5,,,,
PERSON3,A,0,1,1,1,2,0,0,,,,,,,,,4,6,,6,4,,4,5,,4,4,,5,5,,,,,,1,1,1,1,2,2,2,,,,,,,,,4,2,,6,2,,5,5,,6,4,,5,2,,,,,,1,1,1,0,2,2,2,,,,,,,,,4,0,,6,4,,5,5,,6,4,,5,5,,,,
PERSON4,A,1,1,0,1,0,2,2,,,,,,,,,0,0,,6,0,,0,0,,0,0,,0,0,,,,,,1,1,1,0,0,0,0,,,,,,,,,0,0,,0,4,,0,0,,0,0,,0,0,,,,,,1,0,0,0,0,0,0,,,,,,,,,0,0,,0,4,,0,0,,0,0,,0,0,,,,
